Id,Predicted
7452475,1.0
7071865,1.0
9302616,1.0
7562317,1.0
5940084,1.0
9586548,1.0
2943410,1.0
9617317,1.0
2280114,1.0
7138022,1.0
2331237,1.0
7698192,1.0
8897454,1.0
9972585,1.0
2477543,1.0
4041492,1.0
7837501,1.0
5351394,1.0
7341785,1.0
2155375,1.0
2161265,1.0
9958558,1.0
2413326,1.0
5774192,1.0
6564612,1.0
4245487,1.0
6868720,1.0
5330019,1.0
3689569,1.0
2497372,1.0
4447232,1.0
8475804,1.0
1161299,1.0
8687889,1.0
6599921,1.0
9482384,1.0
1237586,1.0
4945433,1.0
6980721,1.0
8562768,1.0
9879364,1.0
8556360,1.0
8042027,1.0
5480332,1.0
6855266,1.0
3966159,1.0
9946972,1.0
9374984,1.0
7464103,1.0
5456407,1.0
3146024,1.0
8737964,1.0
2076518,1.0
6428828,1.0
5470184,1.0
7703838,1.0
9981103,1.0
6695332,1.0
6667335,1.0
7515511,1.0
7064800,1.0
3306032,1.0
2401695,1.0
8726311,1.0
3040508,1.0
4546032,1.0
1383977,1.0
7812755,1.0
8496237,1.0
8874192,1.0
5932645,1.0
7128436,1.0
3677070,1.0
9919938,1.0
4487218,1.0
8273392,1.0
8256824,1.0
7060222,1.0
9409976,1.0
3261833,1.0
2075338,1.0
6619416,1.0
5560751,1.0
9711327,1.0
3634999,1.0
5928635,1.0
9811498,1.0
1052022,1.0
9039662,1.0
1016681,1.0
1527506,1.0
8221997,1.0
6272916,1.0
6980832,1.0
3590131,1.0
5651767,1.0
1241757,1.0
6622069,1.0
7753239,1.0
5903612,1.0
5905139,1.0
9060214,1.0
3676297,1.0
3857616,1.0
7203514,1.0
2703407,1.0
3463842,1.0
2969404,1.0
9097479,1.0
7362707,1.0
3502454,1.0
2060968,1.0
7623344,1.0
7185944,1.0
6060911,1.0
1619874,1.0
7709597,1.0
3186377,1.0
5510103,1.0
1248091,1.0
3717997,1.0
3585028,1.0
1882477,1.0
3802349,1.0
7887227,1.0
5304465,1.0
1728025,1.0
5033848,1.0
4654896,1.0
2028630,1.0
8070650,1.0
5823957,1.0
9305561,1.0
5536098,1.0
6001469,1.0
1535667,1.0
9661057,1.0
9657215,1.0
5227838,1.0
7388128,1.0
6807954,1.0
1524169,1.0
7803126,1.0
1891609,1.0
3236327,1.0
7929387,1.0
7283725,1.0
7590161,1.0
1408897,1.0
7736015,1.0
7011183,1.0
6779530,1.0
3895462,1.0
3947441,1.0
4318520,1.0
5019434,1.0
7958985,1.0
7331487,1.0
2386101,1.0
6925441,1.0
6004588,1.0
5539861,1.0
4163162,1.0
3064421,1.0
9731216,1.0
3199959,1.0
5992160,1.0
5295778,1.0
1773067,1.0
9191289,1.0
1886486,1.0
6079346,1.0
4111131,1.0
2929845,1.0
5052527,1.0
5884667,1.0
3944122,1.0
8472618,1.0
3632867,1.0
8641692,1.0
4742705,1.0
9702850,1.0
2679287,1.0
3250813,1.0
5704361,1.0
6339778,1.0
3033142,1.0
8043868,1.0
7334375,1.0
1007209,1.0
5929130,1.0
3167631,1.0
5951817,1.0
7842103,1.0
3257020,1.0
5537353,1.0
7243753,1.0
2824400,1.0
4952281,1.0
6640650,1.0
3957438,1.0
3043969,1.0
5249918,1.0
8129207,1.0
1301242,1.0
3047101,1.0
9418197,1.0
5210357,1.0
1517072,1.0
4817568,1.0
6182307,1.0
5292511,1.0
1833420,1.0
8511135,1.0
8197308,1.0
8422151,1.0
6362321,1.0
5393346,1.0
3377595,1.0
2667640,1.0
3585120,1.0
7714224,1.0
4247052,1.0
1823030,1.0
3564530,1.0
7074776,1.0
4245604,1.0
7683860,1.0
4905335,1.0
3053259,1.0
3366587,1.0
8032450,1.0
7429610,1.0
2034623,1.0
1603585,1.0
4721635,1.0
2900156,1.0
4751829,1.0
3237608,1.0
1055804,1.0
7562405,1.0
6976543,1.0
5632933,1.0
1082972,1.0
4387691,1.0
3121016,1.0
6616536,1.0
3667430,1.0
2928637,1.0
2127303,1.0
3001888,1.0
1554410,1.0
3111136,1.0
2288150,1.0
3145803,1.0
8097798,1.0
2081584,1.0
1302820,1.0
1474713,1.0
5988496,1.0
8696222,1.0
5492987,1.0
3790962,1.0
6947798,1.0
8374408,1.0
4065995,1.0
8727034,1.0
9320506,1.0
2800638,1.0
7298100,1.0
6780965,1.0
3155206,1.0
1817178,1.0
9304766,1.0
1079608,1.0
3025532,1.0
4858813,1.0
4243056,1.0
7951954,1.0
3980986,1.0
3301421,1.0
5999090,1.0
8434626,1.0
4871896,1.0
1000956,1.0
8337945,1.0
3909790,1.0
9296341,1.0
8866800,1.0
1337336,1.0
9426274,1.0
9171210,1.0
6971772,1.0
9104863,1.0
4373525,1.0
1914315,1.0
3024917,1.0
4814304,1.0
5204663,1.0
4029320,1.0
8028881,1.0
4349026,1.0
2385483,1.0
7105849,1.0
6187658,1.0
9339186,1.0
7208336,1.0
3611313,1.0
7233632,1.0
5702194,1.0
1706364,1.0
3881051,1.0
9871827,1.0
2922817,1.0
8784456,1.0
1358770,1.0
8473188,1.0
1121365,1.0
7107389,1.0
1257748,1.0
7829069,1.0
1156727,1.0
4247037,1.0
2147987,1.0
1856370,1.0
3028871,1.0
8362896,1.0
2310227,1.0
9499671,1.0
1982436,1.0
8861810,1.0
1615248,1.0
3179609,1.0
3557389,1.0
4868718,1.0
2274525,1.0
9843709,1.0
5500115,1.0
4904034,1.0
3455373,1.0
8856793,1.0
1485872,1.0
2881967,1.0
5716082,1.0
7810123,1.0
5993573,1.0
5695430,1.0
4730682,1.0
1921086,1.0
9107418,1.0
9373327,1.0
5656947,1.0
2283459,1.0
6167219,1.0
1963808,1.0
7427961,1.0
6815409,1.0
5461711,1.0
1254366,1.0
7102864,1.0
2402696,1.0
3753533,1.0
6478395,1.0
4428880,1.0
7488329,1.0
9780636,1.0
9135671,1.0
1908916,1.0
3165652,1.0
5903910,1.0
3667180,1.0
2235146,1.0
5020707,1.0
5884511,1.0
4920846,1.0
6707439,1.0
4668969,1.0
3730196,1.0
3994345,1.0
1997149,1.0
6545487,1.0
5527679,1.0
7701215,1.0
3918896,1.0
1664358,1.0
6715410,1.0
1103912,1.0
4851158,1.0
2152684,1.0
1594764,1.0
7577229,1.0
2721313,1.0
1519045,1.0
8190297,1.0
1266214,1.0
9712990,1.0
2870353,1.0
3859873,1.0
7332885,1.0
6038131,1.0
3045907,1.0
9896933,1.0
3647164,1.0
4877227,1.0
5604508,1.0
5338593,1.0
5411364,1.0
8671153,1.0
2095436,1.0
5336825,1.0
5568386,1.0
8860939,1.0
6760835,1.0
9930767,1.0
1051472,1.0
5081373,1.0
9571052,1.0
9946736,1.0
8523812,1.0
1205744,1.0
6630608,1.0
1155461,1.0
4831219,1.0
1954287,1.0
9090825,1.0
1869385,1.0
2334742,1.0
8421124,1.0
7823213,1.0
8218313,1.0
9172983,1.0
4657263,1.0
3262380,1.0
9022948,1.0
1474472,1.0
5379219,1.0
7224311,1.0
3753101,1.0
4233080,1.0
3369815,1.0
4204576,1.0
5113367,1.0
